# This dataset is regenerated from Salzmann et al. (2008),,
# lat: Latitude in deg_N,,
# lon: Longitude in deg_E,,
# Anom: mean annual temperature change in deg_C compared to 1870-1988 NOAA ERSST (Huang er al., 2017),
,,
lat,lon,Anom
43.35,13.34,8.57
-40.51,167.67,0.51
-45.52,174.95,1.24
41,-32.97,3.44
49.88,-24.23,5.15
28.83,-87.16,2.3
67.23,2.93,7.02
-1.39,-11.74,2.09
1.2,-84.73,2.28
16.62,59.8,1.8
-3.1,-90.82,2.52
50.36,167.6,3.86
51.2,167.77,3.29
69.25,12.7,-0.23
78.59,3.07,14.6
4.2,-43.49,1.39
24,-20,3.49
36.23,-2.05,9.1
57.52,-15.87,6.53
12.75,-78.73,0.41
29.97,-118.1,0.32
36.99,-123.28,1.23
28.25,-74.41,-2.32
39.23,-72.28,9.94
-19.62,11.32,8.21
-21.1,11.82,9.39
-25.52,13.03,8.35
-31.47,15.32,3.67
-41.13,13.57,5.27
-9.19,151.57,0.9
-42.55,-178.17,5.16
9.37,113.28,0.46
19.46,116.27,2.62
5.85,-86.45,0.47
49.88,-24.24,3.85
41,-32.95,3.14
39.49,134.44,5.73